3299,japanese_secret_button
3297,japanese_congratulations_button
303d,part_alternation_mark
3030,wavy_dash
2b55,hollow_red_circle
2b50,star
2b1c,white_large_square
2b1b,black_large_square
2b07,down_arrow
2b06,up_arrow
2b05,left_arrow
2935,right_arrow_curving_down
2934,right_arrow_curving_up
27bf,double_curly_loop
27b0,curly_loop
27a1,right_arrow
2797,divide
2796,minus
2795,plus
2764-200d-1fa79,mending_heart
2764-200d-1f525,heart_on_fire
2764,red_heart
2763,heart_exclamation
2757,red_exclamation_mark
2755,white_exclamation_mark
2754,white_question_mark
2753,red_question_mark
274e,cross_mark_button
274c,cross_mark
2747,sparkle
2744,snowflake
2734,eight-pointed_star
2733,eight-spoked_asterisk
2728,sparkles
2721,star_of_david
271d,latin_cross
2716,multiply
2714,check_mark
2712,black_nib
270f,pencil
270d,writing_hand
270d-1f3ff,writing_hand_dark_skin_tone
270d-1f3fe,writing_hand_medium-dark_skin_tone
270d-1f3fd,writing_hand_medium_skin_tone
270d-1f3fc,writing_hand_medium-light_skin_tone
270d-1f3fb,writing_hand_light_skin_tone
270c,victory_hand
270c-1f3ff,victory_hand_dark_skin_tone
270c-1f3fe,victory_hand_medium-dark_skin_tone
270c-1f3fd,victory_hand_medium_skin_tone
270c-1f3fc,victory_hand_medium-light_skin_tone
270c-1f3fb,victory_hand_light_skin_tone
270b-1f3ff,raised_hand_dark_skin_tone
270b-1f3fe,raised_hand_medium-dark_skin_tone
270b-1f3fd,raised_hand_medium_skin_tone
270b-1f3fc,raised_hand_medium-light_skin_tone
270b-1f3fb,raised_hand_light_skin_tone
270b,raised_hand
270a-1f3ff,raised_fist_dark_skin_tone
270a-1f3fe,raised_fist_medium-dark_skin_tone
270a-1f3fd,raised_fist_medium_skin_tone
270a-1f3fc,raised_fist_medium-light_skin_tone
270a-1f3fb,raised_fist_light_skin_tone
270a,raised_fist
2709,envelope
2708,airplane
2705,check_mark_button
2702,scissors
26fd,fuel_pump
26fa,tent
26f9-200d-2642,man_bouncing_ball
26f9-200d-2640,woman_bouncing_ball
26f9,person_bouncing_ball
26f9-1f3ff-200d-2642,man_bouncing_ball_dark_skin_tone
26f9-1f3ff-200d-2640,woman_bouncing_ball_dark_skin_tone
26f9-1f3ff,person_bouncing_ball_dark_skin_tone
26f9-1f3fe-200d-2642,man_bouncing_ball_medium-dark_skin_tone
26f9-1f3fe-200d-2640,woman_bouncing_ball_medium-dark_skin_tone
26f9-1f3fe,person_bouncing_ball_medium-dark_skin_tone
26f9-1f3fd-200d-2642,man_bouncing_ball_medium_skin_tone
26f9-1f3fd-200d-2640,woman_bouncing_ball_medium_skin_tone
26f9-1f3fd,person_bouncing_ball_medium_skin_tone
26f9-1f3fc-200d-2642,man_bouncing_ball_medium-light_skin_tone
26f9-1f3fc-200d-2640,woman_bouncing_ball_medium-light_skin_tone
26f9-1f3fc,person_bouncing_ball_medium-light_skin_tone
26f9-1f3fb-200d-2642,man_bouncing_ball_light_skin_tone
26f9-1f3fb-200d-2640,woman_bouncing_ball_light_skin_tone
26f9-1f3fb,person_bouncing_ball_light_skin_tone
26f8,ice_skate
26f7,skier
26f5,sailboat
26f4,ferry
26f3,flag_in_hole
26f2,fountain
26f1,umbrella_on_ground
26f0,mountain
26ea,church
26e9,shinto_shrine
26d4,no_entry
26d3,chains
26d1,rescue_workers_helmet
26cf,pick
26ce,ophiuchus
26c8,cloud_with_lightning_and_rain
26c5,sun_behind_cloud
26c4,snowman_without_snow
26be,baseball
26bd,soccer_ball
26b1,funeral_urn
26b0,coffin
26ab,black_circle
26aa,white_circle
26a7,transgender_symbol
26a1,high_voltage
26a0,warning
269c,fleur-de-lis
269b,atom_symbol
2699,gear
2697,alembic
2696,balance_scale
2695,medical_symbol
2694,crossed_swords
2693,anchor
2692,hammer_and_pick
267f,wheelchair_symbol
267e,infinity
267b,recycling_symbol
2668,hot_springs
2666,diamond_suit
2665,heart_suit
2663,club_suit
2660,spade_suit
265f,chess_pawn
2653,pisces
2652,aquarius
2651,capricorn
2650,sagittarius
264f,scorpio
264e,libra
264d,virgo
264c,leo
264b,cancer
264a,gemini
